,id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type,genres,album_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,time_signature
27,47Cd4WP1ZOK8WXC68kqZ03,Ennadi Maayavi Nee,63,audio_features,False,False,251000,1,5,5FVBduYaeVBb6JIghza7v6,Santhosh Narayanan,5FVBduYaeVBb6JIghza7v6,Santhosh Narayanan,5oZttbNRyrYfBLhej6HAY7,VadaChennai (Original Motion Picture Soundtrack),2018-09-23,11,album,"['filmi', 'tamil pop']","['filmi', 'tamil pop']",0.55,0.246,0,-12.503,0,0.03,0.834,0.00279,0.0977,0.218,119.836,spotify:track:47Cd4WP1ZOK8WXC68kqZ03,https://api.spotify.com/v1/tracks/47Cd4WP1ZOK8WXC68kqZ03,https://api.spotify.com/v1/audio-analysis/47Cd4WP1ZOK8WXC68kqZ03,3
28,4FeczSomVWVyU4FW7xDeAI,Tere Bina,65,audio_features,False,False,309640,1,2,1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,6kWI9GDPhMhaGNo80Q1XT5,Guru (Original Motion Picture Soundtrack),2006-09-11,7,album,"['desi pop', 'filmi', 'modern bollywood']","['desi pop', 'filmi', 'modern bollywood']",0.744,0.7,2,-7.663,1,0.0375,0.278,0.000155,0.068,0.867,144.033,spotify:track:4FeczSomVWVyU4FW7xDeAI,https://api.spotify.com/v1/tracks/4FeczSomVWVyU4FW7xDeAI,https://api.spotify.com/v1/audio-analysis/4FeczSomVWVyU4FW7xDeAI,4
29,4MQz8ASfe7gIn1RvQ7OOyP,Veshangal,30,audio_features,False,False,293187,1,2,2wPsNCwhEGb0KvChZ5DD52,K. J. Yesudas,2LMljlTXjGr7jPZOBmK9My,S.A. Rajkumar,5KpIXLSkSojkd1seu2RtMQ,Vesham (Original Motion Picture Soundtrack),2004-07-03,3,album,"['filmi', 'mollywood']","['filmi', 'tamil pop']",0.611,0.575,5,-8.638,1,0.0471,0.311,0.0,0.342,0.524,78.02,spotify:track:4MQz8ASfe7gIn1RvQ7OOyP,https://api.spotify.com/v1/tracks/4MQz8ASfe7gIn1RvQ7OOyP,https://api.spotify.com/v1/audio-analysis/4MQz8ASfe7gIn1RvQ7OOyP,4
30,52INmBPUsLUQ6to3WnGWUm,You,65,audio_features,False,False,194478,1,1,4IKVDbCSBTxBeAsMKjAuTs,Armaan Malik,4IKVDbCSBTxBeAsMKjAuTs,Armaan Malik,2jjveyg1Fb0Pf6wfnTOGg4,You,2022-01-07,1,album,"['desi pop', 'filmi', 'modern bollywood']","['desi pop', 'filmi', 'modern bollywood']",0.463,0.458,9,-6.705,1,0.0422,0.776,5.47e-05,0.544,0.593,110.052,spotify:track:52INmBPUsLUQ6to3WnGWUm,https://api.spotify.com/v1/tracks/52INmBPUsLUQ6to3WnGWUm,https://api.spotify.com/v1/audio-analysis/52INmBPUsLUQ6to3WnGWUm,4
31,54OBgO0Xwu20Jak9TMXbR7,Wellerman - Sea Shanty,80,audio_features,False,False,155333,1,1,1PKErrAhYFdfrDymGHRQRo,Nathan Evans,1PKErrAhYFdfrDymGHRQRo,Nathan Evans,1AK6peN1DwvYRXN19cqWoP,Wellerman (Sea Shanty),2021-01-21,1,album,[],[],0.675,0.359,3,-5.157,1,0.108,0.614,0.0,0.137,0.792,191.903,spotify:track:54OBgO0Xwu20Jak9TMXbR7,https://api.spotify.com/v1/tracks/54OBgO0Xwu20Jak9TMXbR7,https://api.spotify.com/v1/audio-analysis/54OBgO0Xwu20Jak9TMXbR7,4
32,5QVHNa0ppJUOoqSd36ovQS,"Pachtaoge (From ""Jaani Ve"")",64,audio_features,False,False,226789,1,1,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,3Ptq3ARmJ8iTLBb7M7Bho0,"Pachtaoge (From ""Jaani Ve"")",2019-08-23,1,album,"['desi pop', 'filmi', 'modern bollywood']","['desi pop', 'filmi', 'modern bollywood']",0.515,0.691,5,-4.028,0,0.0344,0.624,0.0,0.121,0.484,169.521,spotify:track:5QVHNa0ppJUOoqSd36ovQS,https://api.spotify.com/v1/tracks/5QVHNa0ppJUOoqSd36ovQS,https://api.spotify.com/v1/audio-analysis/5QVHNa0ppJUOoqSd36ovQS,3
33,5jOi67yXzjpMdl6KFNWSIe,Usure Pogudhey,61,audio_features,False,False,366507,1,2,1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,7ywJmodDrksHrxbnqHSDuT,Raavanan (Original Motion Picture Soundtrack),2010-10-14,11,album,"['desi pop', 'filmi', 'modern bollywood']","['desi pop', 'filmi', 'modern bollywood']",0.674,0.663,5,-8.886,1,0.0619,0.3,2.96e-06,0.101,0.287,92.997,spotify:track:5jOi67yXzjpMdl6KFNWSIe,https://api.spotify.com/v1/tracks/5jOi67yXzjpMdl6KFNWSIe,https://api.spotify.com/v1/audio-analysis/5jOi67yXzjpMdl6KFNWSIe,4
34,6Gx3Ry4ORogdMibbdITOuN,Dhadak Title Track,58,audio_features,False,False,243484,1,1,0vkpFzbSTmwPuGGnhsblFI,Ajay Gogavale,5fvTHKKzW44A9867nPDocM,Ajay-Atul,5Pn4u5kYgcx8cjSmeY6aFu,Dhadak,2018-06-19,4,album,"['desi pop', 'filmi', 'modern bollywood']","['desi pop', 'filmi', 'modern bollywood']",0.375,0.312,7,-10.656,0,0.031,0.85,0.00988,0.137,0.22,77.527,spotify:track:6Gx3Ry4ORogdMibbdITOuN,https://api.spotify.com/v1/tracks/6Gx3Ry4ORogdMibbdITOuN,https://api.spotify.com/v1/audio-analysis/6Gx3Ry4ORogdMibbdITOuN,4
35,733B0eINqwUqzV49kNRPPA,Lag Ja Gale,61,audio_features,False,False,240953,1,1,7o7doCwqft91WC690aglWC,Sanam,7o7doCwqft91WC690aglWC,Sanam,3WpNdEjIE5itor1v9GK83G,Lag Ja Gale - Sanam,2014-07-15,1,album,"['desi pop', 'modern bollywood']","['desi pop', 'modern bollywood']",0.393,0.32,8,-8.648,1,0.0303,0.857,1.09e-05,0.0917,0.457,135.026,spotify:track:733B0eINqwUqzV49kNRPPA,https://api.spotify.com/v1/tracks/733B0eINqwUqzV49kNRPPA,https://api.spotify.com/v1/audio-analysis/733B0eINqwUqzV49kNRPPA,3
36,0YUaVCxTLyQ3EJQ23ZV5We,Alare Govinda,44,audio_features,False,False,325959,1,9,5GAbXkTL9BQlDbuRn2dWyf,Nikhil,3bsXF6ry8hOM2s1YyruPOb,Deepan Chaterjee,3lFI1ZN3uZq4BvbEyN7sTO,Kakkakuyil (Original Motion Picture Soundrack),2014-05-23,9,album,['tamil pop'],[],0.8,0.752,9,-9.871,1,0.0461,0.238,0.0,0.13,0.813,133.988,spotify:track:0YUaVCxTLyQ3EJQ23ZV5We,https://api.spotify.com/v1/tracks/0YUaVCxTLyQ3EJQ23ZV5We,https://api.spotify.com/v1/audio-analysis/0YUaVCxTLyQ3EJQ23ZV5We,4
