,id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type,added_at,genres,album_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,time_signature
10,3VKfWlbGy3v8Q5QBYpyHHO,Thirike - Male Version,26,audio_features,False,False,312253,1,2,2wPsNCwhEGb0KvChZ5DD52,K. J. Yesudas,09Swfzp0iwV8Yxe1Ngzf6v,Bijibal,4JcSVDtZzzzKckHDveecrw,Arabhikatha (Original Motion Picture Soundtrack),2007-07-22,7,album,2021-10-13T08:06:51Z,"['filmi', 'mollywood']","['filmi', 'mollywood']",0.585,0.6,11,-6.82,0,0.155,0.567,0.0,0.219,0.801,152.768,spotify:track:3VKfWlbGy3v8Q5QBYpyHHO,https://api.spotify.com/v1/tracks/3VKfWlbGy3v8Q5QBYpyHHO,https://api.spotify.com/v1/audio-analysis/3VKfWlbGy3v8Q5QBYpyHHO,3
11,5ORrDA0ZvikLoOm2LmUOP4,"Chaanjadi Aadi - From ""Makalkku""",47,audio_features,False,False,298440,1,1,4fPsenZoPwtFRiRBjV6zhb,Gayatri Ashokan,4fPsenZoPwtFRiRBjV6zhb,Gayatri Ashokan,3joPwyYTGolDssVnkwZnb1,Hits of Gayatri Ashokan,2018-09-28,7,album,2021-10-13T07:46:05Z,['mollywood'],['mollywood'],0.628,0.48,4,-9.431,1,0.0449,0.74,0.0,0.153,0.634,82.023,spotify:track:5ORrDA0ZvikLoOm2LmUOP4,https://api.spotify.com/v1/tracks/5ORrDA0ZvikLoOm2LmUOP4,https://api.spotify.com/v1/audio-analysis/5ORrDA0ZvikLoOm2LmUOP4,4
12,3WJEp5CbxachrBTj6BlTD4,Kadalkkaattin,25,audio_features,False,False,309067,1,4,2wPsNCwhEGb0KvChZ5DD52,K. J. Yesudas,3m49WVMU4zCkaVEKb8kFW7,Ilaiyaraaja,7KNaYKUmsGXcJF4T1daTY6,Friends (Original Motion Picture Soundtrack),2003-07-19,8,album,2021-10-13T07:32:36Z,"['filmi', 'mollywood']","['classic kollywood', 'filmi', 'tamil pop']",0.615,0.347,4,-13.127,0,0.0289,0.556,1.16e-05,0.305,0.398,138.031,spotify:track:3WJEp5CbxachrBTj6BlTD4,https://api.spotify.com/v1/tracks/3WJEp5CbxachrBTj6BlTD4,https://api.spotify.com/v1/audio-analysis/3WJEp5CbxachrBTj6BlTD4,3
13,2hfi8KLZ5wvw3veGpVOddl,Neeyam Thanalinu (Duet),44,audio_features,False,False,329100,1,7,0aUQnP4HhUQXcurZl9GJIA,Vijay Yesudas,6NDdkTWxauMlB05GNnnGAS,Rathesh Vegha,6VaoDoZXeFuJu3Y6u578wl,Cocktail (Original Motion Picture Soundtrack),2010-07-01,7,album,2021-10-13T07:28:12Z,"['filmi', 'tamil pop']",[],0.788,0.547,5,-5.867,0,0.0382,0.593,0.00145,0.0932,0.689,100.012,spotify:track:2hfi8KLZ5wvw3veGpVOddl,https://api.spotify.com/v1/tracks/2hfi8KLZ5wvw3veGpVOddl,https://api.spotify.com/v1/audio-analysis/2hfi8KLZ5wvw3veGpVOddl,4
14,5m1gpEMYblFTaH9y2F52cx,Poove Oru Mazhamutham,47,audio_features,False,False,302423,1,2,2Li025DV8PdNxxs9781eOY,Fahad,5wq0asvXF4jyJs8ydPPFzR,Ouseppachan,30ckjh7lCnpK3Bc59BsdPC,Kaiyethum Doorathu (Original Motion Picture Soundrack),2014-05-23,8,album,2021-10-13T07:23:14Z,[],['mollywood'],0.668,0.413,7,-10.314,0,0.0423,0.39,8.79e-06,0.145,0.425,144.963,spotify:track:5m1gpEMYblFTaH9y2F52cx,https://api.spotify.com/v1/tracks/5m1gpEMYblFTaH9y2F52cx,https://api.spotify.com/v1/audio-analysis/5m1gpEMYblFTaH9y2F52cx,4
15,5oPuUgT79wAJMVfsGuow6T,Pai Kurumbiye,37,audio_features,False,False,364133,1,3,4CQ3OkjfQPYVQTM8Ekts7b,Balram,5TB837uKG65w8Jnz5D0bS5,Vidyasagar,2zEMsKK8lHLOnOc6GYSap2,Gramaphone (Original Motion Picture Soundtrack),2002-07-01,6,album,2021-10-13T07:14:04Z,[],"['filmi', 'kollywood', 'tamil pop']",0.484,0.683,0,-8.165,1,0.103,0.663,0.0,0.332,0.59,124.908,spotify:track:5oPuUgT79wAJMVfsGuow6T,https://api.spotify.com/v1/tracks/5oPuUgT79wAJMVfsGuow6T,https://api.spotify.com/v1/audio-analysis/5oPuUgT79wAJMVfsGuow6T,4
16,3VIrHwqCpo34sBosbQR9H7,Thiranurayum,34,audio_features,False,False,284573,1,1,2wPsNCwhEGb0KvChZ5DD52,K. J. Yesudas,5L0RbvV13JHcxpbO7LxVAp,M. G. Radhakrishnan,7bHl1LbIQTKDgSCtwUUeAW,Ananthabhadram (Original Motion Picture Soundtrack),2005-07-20,6,album,2021-10-13T07:05:21Z,"['filmi', 'mollywood']","['filmi', 'mollywood']",0.731,0.757,0,-10.725,1,0.094,0.375,0.000158,0.127,0.582,115.056,spotify:track:3VIrHwqCpo34sBosbQR9H7,https://api.spotify.com/v1/tracks/3VIrHwqCpo34sBosbQR9H7,https://api.spotify.com/v1/audio-analysis/3VIrHwqCpo34sBosbQR9H7,4
17,6FMcXdPM60tk8E8HchCtec,Thinkale Poonthinkale,46,audio_features,False,False,256973,1,2,3wjaprBWmoSJn4KP9tgkxt,M. G. Sreekumar,6my2Xgtzba30XW1KJkJ8MU,Berni Ignesious,00NVZI8eaPt5W9kjJC6sWx,Kalyaana Raman (Original Motion Picture Soundtrack),2002-07-01,7,album,2021-10-13T06:57:23Z,"['filmi', 'mollywood']",[],0.759,0.893,9,-8.109,0,0.112,0.182,0.0,0.0739,0.76,132.007,spotify:track:6FMcXdPM60tk8E8HchCtec,https://api.spotify.com/v1/tracks/6FMcXdPM60tk8E8HchCtec,https://api.spotify.com/v1/audio-analysis/6FMcXdPM60tk8E8HchCtec,4
18,0rCljiBRbyYqNcF9bbrQPC,Pranayasauganthikam,19,audio_features,False,False,211547,1,5,75MoIWlaOyurXIcgiqVhsQ,Santhosh Keshav,5wq0asvXF4jyJs8ydPPFzR,Ouseppachan,4DTxWAHuf5j1aB343RtDSS,Darling Darling (Original Motion Picture Soundtrack),2000-07-19,7,album,2021-10-13T06:53:23Z,[],['mollywood'],0.582,0.435,0,-10.707,1,0.0304,0.305,0.0,0.0956,0.452,114.768,spotify:track:0rCljiBRbyYqNcF9bbrQPC,https://api.spotify.com/v1/tracks/0rCljiBRbyYqNcF9bbrQPC,https://api.spotify.com/v1/audio-analysis/0rCljiBRbyYqNcF9bbrQPC,4
19,7ruoxrYVp7Bxk8zUnYAmXA,Vinnile Ghandarva,35,audio_features,False,False,250853,1,4,1EYD74wB45dOQXt27hh144,Unni Menon,3rGuJQSYUjpHjWVhE1NgdQ,Shyam,6Ia4KRYYGf6S6Kpy76X08g,Raajavinte Makan (Original Motion Picture Soundtrack),2008-07-22,4,album,2021-10-13T06:51:43Z,"['filmi', 'tamil pop']",[],0.691,0.404,2,-9.31,1,0.034,0.622,0.0029,0.165,0.856,145.846,spotify:track:7ruoxrYVp7Bxk8zUnYAmXA,https://api.spotify.com/v1/tracks/7ruoxrYVp7Bxk8zUnYAmXA,https://api.spotify.com/v1/audio-analysis/7ruoxrYVp7Bxk8zUnYAmXA,3
